Unicode,Python Code,Occurrences,Position,Neg,Neut,Pos,Sentiment score,Unicode name,Unicode block,
0x2b05,U2b05,12,0.663,0.067,0.4,0.533,0.467,LEFTWARDS BLACK ARROW,Miscellaneous Symbols and Arrows,6
0x25a1,U25a1,11,0.674,0.571,0.071,0.357,-0.214,WHITE SQUARE,Geometric Shapes,6
0x2733,U2733,11,0.372,0.071,0.857,0.071,0,EIGHT SPOKED ASTERISK,Dingbats,6
0x2566,U2566,11,0.22,0.071,0.5,0.429,0.357,BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL,Box Drawing,6
0x26fa,U26fa,10,0.906,0.154,0.231,0.615,0.462,TENT,Miscellaneous Symbols,6
0x2712,U2712,10,0.544,0.154,0.462,0.385,0.231,BLACK NIB,Dingbats,6
0x2312,U2312,10,0.624,0.077,0.308,0.615,0.538,ARC,Miscellaneous Technical,6
0x2752,U2752,10,0.587,0.077,0.615,0.308,0.231,UPPER RIGHT SHADOWED WHITE SQUARE,Dingbats,6
0x25e2,U25e2,10,0.572,0.077,0.231,0.692,0.615,BLACK LOWER RIGHT TRIANGLE,Geometric Shapes,6
0x2754,U2754,9,0.787,0.333,0.333,0.333,0,WHITE QUESTION MARK ORNAMENT,Dingbats,6
0x25bc,U25bc,9,0.657,0.25,0.417,0.333,0.083,BLACK DOWN-POINTING TRIANGLE,Geometric Shapes,6
0x258c,U258c,9,0.421,0.417,0.417,0.167,-0.25,LEFT HALF BLOCK,Block Elements,6
0x261b,U261b,9,0.554,0.083,0.5,0.417,0.333,BLACK RIGHT POINTING INDEX,Miscellaneous Symbols,6
0x2729,U2729,9,0.266,0.083,0.833,0.083,0,STRESS OUTLINED WHITE STAR,Dingbats,6
0x25a0,U25a0,9,0.79,0.5,0.25,0.25,-0.25,BLACK SQUARE,Geometric Shapes,6
0x272f,U272f,9,0.321,0.083,0.833,0.083,0,PINWHEEL STAR,Dingbats,6
0x2709,U2709,9,0.441,0.167,0.417,0.417,0.25,ENVELOPE,Dingbats,6
0x2563,U2563,9,0.642,0.083,0.833,0.083,0,BOX DRAWINGS DOUBLE VERTICAL AND LEFT,Box Drawing,6
0x25e4,U25e4,9,0.669,0.083,0.083,0.833,0.75,BLACK UPPER LEFT TRIANGLE,Geometric Shapes,6
0x25cb,U25cb,8,0.625,0.091,0.364,0.545,0.455,WHITE CIRCLE,Geometric Shapes,6
0x2609,U2609,8,0.986,0.091,0.636,0.273,0.182,SUN,Miscellaneous Symbols,6
0x253c,U253c,8,0.595,0.273,0.455,0.273,0,BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL,Box Drawing,6
0x27b0,U27b0,8,0.255,0.455,0.182,0.364,-0.091,CURLY LOOP,Dingbats,6
0x21aa,U21aa,8,0.727,0.091,0.727,0.182,0.091,RIGHTWARDS ARROW WITH HOOK,Arrows,6
0x26f3,U26f3,8,0.66,0.091,0.182,0.727,0.636,FLAG IN HOLE,Miscellaneous Symbols,6
0x253b,U253b,8,0.436,0.636,0.091,0.273,-0.364,BOX DRAWINGS HEAVY UP AND HORIZONTAL,Box Drawing,6
0x251b,U251b,8,0.712,0.091,0.273,0.636,0.545,BOX DRAWINGS HEAVY UP AND LEFT,Box Drawing,6
0x2503,U2503,8,0.496,0.091,0.455,0.455,0.364,BOX DRAWINGS HEAVY VERTICAL,Box Drawing,6
0x23f3,U23f3,7,0.829,0.4,0.2,0.4,0,HOURGLASS WITH FLOWING SAND,Miscellaneous Technical,6
0x263b,U263b,7,0.808,0.2,0.4,0.4,0.2,BLACK SMILING FACE,Miscellaneous Symbols,6
0x24b6,U24b6,7,0.467,0.3,0.5,0.2,-0.1,CIRCLED LATIN CAPITAL LETTER A,Enclosed Alphanumerics,6
0x270e,U270e,7,0.547,0.1,0.3,0.6,0.5,LOWER RIGHT PENCIL,Dingbats,6
0x264e,U264e,7,0.855,0.3,0.5,0.2,-0.1,LIBRA,Miscellaneous Symbols,6
0x25b2,U25b2,7,0.338,0.1,0.3,0.6,0.5,BLACK UP-POINTING TRIANGLE,Geometric Shapes,6
0x26f5,U26f5,7,0.324,0.1,0.3,0.6,0.5,SAILBOAT,Miscellaneous Symbols,6
0x231b,U231b,7,0.797,0.3,0.3,0.4,0.1,HOURGLASS,Miscellaneous Technical,6
0x2755,U2755,7,0.862,0.2,0.4,0.4,0.2,WHITE EXCLAMATION MARK ORNAMENT,Dingbats,6
0x2662,U2662,7,0.868,0.1,0.5,0.4,0.3,WHITE DIAMOND SUIT,Miscellaneous Symbols,6
0x2745,U2745,7,0.247,0.1,0.2,0.7,0.6,TIGHT TRIFOLIATE SNOWFLAKE,Dingbats,6
0x271e,U271e,6,0.509,0.111,0.444,0.444,0.333,SHADOWED WHITE LATIN CROSS,Dingbats,6
0x25e1,U25e1,6,0.947,0.111,0.556,0.333,0.222,LOWER HALF CIRCLE,Geometric Shapes,6
0x25c6,U25c6,6,0.602,0.111,0.222,0.667,0.556,BLACK DIAMOND,Geometric Shapes,6
0x2602,U2602,6,0.453,0.222,0.556,0.222,0,UMBRELLA,Miscellaneous Symbols,6
0x264c,U264c,6,0.79,0.111,0.222,0.667,0.556,LEO,Miscellaneous Symbols,6
0x2610,U2610,6,0.538,0.778,0.111,0.111,-0.667,BALLOT BOX,Miscellaneous Symbols,6
0x21b3,U21b3,6,0.346,0.111,0.778,0.111,0,DOWNWARDS ARROW WITH TIP RIGHTWARDS,Arrows,6
0x23e9,U23e9,6,0.732,0.111,0.667,0.222,0.111,BLACK RIGHT-POINTING DOUBLE TRIANGLE,Miscellaneous Technical,6
0x2718,U2718,6,0.539,0.111,0.222,0.667,0.556,HEAVY BALLOT X,Dingbats,6
0x263e,U263e,6,0.453,0.111,0.778,0.111,0,LAST QUARTER MOON,Miscellaneous Symbols,6
0x2513,U2513,6,0.515,0.111,0.333,0.556,0.444,BOX DRAWINGS HEAVY DOWN AND LEFT,Box Drawing,6
0x2523,U2523,6,0.487,0.111,0.333,0.556,0.444,BOX DRAWINGS HEAVY VERTICAL AND RIGHT,Box Drawing,6
0x24c1,U24c1,6,0.727,0.111,0.444,0.444,0.333,CIRCLED LATIN CAPITAL LETTER L,Enclosed Alphanumerics,6
0x24ba,U24ba,6,0.815,0.111,0.444,0.444,0.333,CIRCLED LATIN CAPITAL LETTER E,Enclosed Alphanumerics,6
0x2510,U2510,5,0.771,0.375,0.375,0.25,-0.125,BOX DRAWINGS LIGHT DOWN AND LEFT,Box Drawing,6
0x262e,U262e,5,0.75,0.375,0.25,0.375,0,PEACE SYMBOL,Miscellaneous Symbols,6
0x2642,U2642,5,0.58,0.125,0.625,0.25,0.125,MALE SIGN,Miscellaneous Symbols,6
0x25de,U25de,5,0.723,0.25,0.5,0.25,0,LOWER RIGHT QUADRANT CIRCULAR ARC,Geometric Shapes,6
0x25c2,U25c2,5,0.199,0.125,0.5,0.375,0.25,BLACK LEFT-POINTING SMALL TRIANGLE,Geometric Shapes,6
0x24c2,U24c2,5,0.765,0.25,0.25,0.5,0.25,CIRCLED LATIN CAPITAL LETTER M,Enclosed Alphanumerics,6
0x266e,U266e,5,0.937,0.125,0.625,0.25,0.125,MUSIC NATURAL SIGN,Miscellaneous Symbols,6
0x2604,U2604,5,0.435,0.125,0.75,0.125,0,COMET,Miscellaneous Symbols,6
0x2628,U2628,5,0.458,0.125,0.75,0.125,0,CROSS OF LORRAINE,Miscellaneous Symbols,6
